voter_id,survey_id,response_date,question_id,question_text,is_parent,parent_question,optional_data,dropdown_value,score,comments,Start_Year,Location,Dept
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,495,How clear are you on the requirements of your job?,No,Clarity,,,7,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,502,How well does your organisation keep you informed?,No,Clarity,,,8,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,503,How clear is the link between your role and the success of the organisation?,No,Clarity,,,8,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,514,Enablement,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,491,How able are you to manage your workload?,No,Enablement,,,8,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,496,To what extent do you have access to the resources you need to support you in your role?,No,Enablement,,,8,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,506,Open Question,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,505,"Overall, how happy are you at work and please tell us why?",No,Open Questions,,,8,,2018-2019,New York,Technology
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,494,Safety,Yes,,,,,Work-life balance could be improved if we could work from home occasionally!,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,486,How satisfied are you with the physical environment you work in?,No,Safety,,,8,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,488,How much do you trust your organisation?,No,Safety,,,10,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,490,How satisfied are you with the balance between your work and home life?,No,Safety,,,4,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,508,Freedom,Yes,,,,,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,489,How free do you feel to be your true self at work?,No,Freedom,,,1,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,507,How satisfied are you with the level of freedom you have in your role?,No,Freedom,,,1,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,509,Relationships,Yes,,,,,There are a few teams that are very siloed which detracts from the culture,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,487,How positive are your relationships at work?,No,Relationships,,,8,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,493,How much do you enjoy working with your team?,No,Relationships,,,9,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,499,How well do you get on with people at work?,No,Relationships,,,6,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,510,Acknowledgment,Yes,,,,,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,492,How much do you feel valued as an individual?,No,Acknowledgment,,,1,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,498,How much do you feel your opinions are listened to?,No,Acknowledgment,,,1,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,511,Personal Growth,Yes,,,,,My role is great but I would appreciate more responsibility and opportunities to manage.,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,485,How satisfied are you with the amount of learning opportunities on offer?,No,Personal Growth,,,9,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,497,How satisfied are you with the opportunity to progress your career here?,No,Personal Growth,,,6,,2018-2019,New York,Engine
dee1f71d8c08a770afdb6a8374caca1d2b8583303b2a9c33cde9e1ab02e2123d,99,20230616,500,How satisfied are you with the amount of challenge in your role?,No,Personal Growth,,,5,,2018-2019,New York,Engine
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,494,Safety,Yes,,,,,"Really not happy with the environment I work in, it's far to hot to concentrate",2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,486,How satisfied are you with the physical environment you work in?,No,Safety,,,5,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,488,How much do you trust your organisation?,No,Safety,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,490,How satisfied are you with the balance between your work and home life?,No,Safety,,,5,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,508,Freedom,Yes,,,,,"Yep, happy with the freedom I've got, don't feel I'm being watched and work and left to get on with it.",2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,489,How free do you feel to be your true self at work?,No,Freedom,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,507,How satisfied are you with the level of freedom you have in your role?,No,Freedom,,,8,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,509,Relationships,Yes,,,,,"I like the people I work with, they make work fun.",2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,487,How positive are your relationships at work?,No,Relationships,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,493,How much do you enjoy working with your team?,No,Relationships,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,499,How well do you get on with people at work?,No,Relationships,,,8,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,510,Acknowledgment,Yes,,,,,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,492,How much do you feel valued as an individual?,No,Acknowledgment,,,6,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,498,How much do you feel your opinions are listened to?,No,Acknowledgment,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,511,Personal Growth,Yes,,,,,I find my role challenging which gives me a sense of accomplishment.,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,485,How satisfied are you with the amount of learning opportunities on offer?,No,Personal Growth,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,497,How satisfied are you with the opportunity to progress your career here?,No,Personal Growth,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,500,How satisfied are you with the amount of challenge in your role?,No,Personal Growth,,,8,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,512,Meaning & Purpose,Yes,,,,,Love working here and fully committed to helping us achieve our objectives,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,501,How inspired are you by your organisation?,No,Meaning & Purpose,,,10,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,504,How committed are you to helping the organisation succeed?,No,Meaning & Purpose,,,10,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,513,Clarity,Yes,,,,,Super clear on what is expected of me.,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,495,How clear are you on the requirements of your job?,No,Clarity,,,10,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,502,How well does your organisation keep you informed?,No,Clarity,,,8,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,503,How clear is the link between your role and the success of the organisation?,No,Clarity,,,10,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,514,Enablement,Yes,,,,,"To be fair I am able to manage my workload to an extent, which I find really valuable for managing my mental health.",2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,491,How able are you to manage your workload?,No,Enablement,,,8,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,496,To what extent do you have access to the resources you need to support you in your role?,No,Enablement,,,7,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,506,Open Question,Yes,,,,,,2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,505,"Overall, how happy are you at work and please tell us why?",No,Open Questions,,,7,"Happy to be working here, love the clarity I receive, I'd by happier if I felt more valued.",2015 + before,Mumbai,HR
95c595ca6f019ae6c95027f723b77a28e0fad1bcb7ef9595a9d3880945588097,99,20210104,999,Employee Net Promoter Score,No,Open Questions,,,10,Caring and supportive team plus very knowledgeable.,2015 + before,Mumbai,HR
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,494,Safety,Yes,,,,,"Yeah I trust the organisation, but more transparency would be nice.",2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,486,How satisfied are you with the physical environment you work in?,No,Safety,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,488,How much do you trust your organisation?,No,Safety,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,490,How satisfied are you with the balance between your work and home life?,No,Safety,,,5,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,508,Freedom,Yes,,,,,Like that I have the freedom to deliver results in the best way for me.,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,489,How free do you feel to be your true self at work?,No,Freedom,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,507,How satisfied are you with the level of freedom you have in your role?,No,Freedom,,,8,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,509,Relationships,Yes,,,,,I have good relationships with the people I work with. In particular my team. Having these positive relationships means the day goes quickly.,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,487,How positive are your relationships at work?,No,Relationships,,,8,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,493,How much do you enjoy working with your team?,No,Relationships,,,8,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,499,How well do you get on with people at work?,No,Relationships,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,510,Acknowledgment,Yes,,,,,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,492,How much do you feel valued as an individual?,No,Acknowledgment,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,498,How much do you feel your opinions are listened to?,No,Acknowledgment,,,6,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,511,Personal Growth,Yes,,,,,"As someone relatively young I feel that I have opportunities to learn, but more importantly opportunities to progress. I can see how my career can develop here.",2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,485,How satisfied are you with the amount of learning opportunities on offer?,No,Personal Growth,,,8,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,497,How satisfied are you with the opportunity to progress your career here?,No,Personal Growth,,,8,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,500,How satisfied are you with the amount of challenge in your role?,No,Personal Growth,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,512,Meaning & Purpose,Yes,,,,,"Love our vision, completely believe in it and committed to make it happen.",2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,501,How inspired are you by your organisation?,No,Meaning & Purpose,,,10,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,504,How committed are you to helping the organisation succeed?,No,Meaning & Purpose,,,10,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,513,Clarity,Yes,,,,,"Feel I'm kept informed about the organisation, feel more could be done to give me clarity in my role.",2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,495,How clear are you on the requirements of your job?,No,Clarity,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,502,How well does your organisation keep you informed?,No,Clarity,,,10,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,503,How clear is the link between your role and the success of the organisation?,No,Clarity,,,10,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,514,Enablement,Yes,,,,,"I can manage my workload to some extent, but not as much as I'd like.",2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,491,How able are you to manage your workload?,No,Enablement,,,6,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,496,To what extent do you have access to the resources you need to support you in your role?,No,Enablement,,,7,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,506,Open Question,Yes,,,,,,2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,505,"Overall, how happy are you at work and please tell us why?",No,Open Questions,,,8,"Like working here, would love to be able to manage my workload more.",2015 + before,Mumbai,Sales
bdb343e488176c1a0cb1079e426bb2e0103adf5b751c588011b1d735a419666b,99,20210104,999,Employee Net Promoter Score,No,Open Questions,,,10,"In the past I wouldn't have recommended it. But now I would. It seems like the SLT are being as fair as they can be given the circumstances. They appear to be listening to us and have provided us with as much help as possible to make things easier for us. There is still a long way to go but I feel we are in a better position than some. I have no idea whether the pay is competitive but you tend to get what you pay for these days. In order to find and retain the best, you have to provide them with the best tools. I feel we are moving in that direction.",2015 + before,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,494,Safety,Yes,,,,,It's difficult at the moment. I'm working on some big projects and deadlines are approaching leading into long days.,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,486,How satisfied are you with the physical environment you work in?,No,Safety,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,488,How much do you trust your organisation?,No,Safety,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,490,How satisfied are you with the balance between your work and home life?,No,Safety,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,508,Freedom,Yes,,,,,"I have a good amount of freedom, but I'd like more. I have some great ideas on how we can generate more sales.",2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,489,How free do you feel to be your true self at work?,No,Freedom,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,507,How satisfied are you with the level of freedom you have in your role?,No,Freedom,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,509,Relationships,Yes,,,,,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,487,How positive are your relationships at work?,No,Relationships,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,493,How much do you enjoy working with your team?,No,Relationships,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,499,How well do you get on with people at work?,No,Relationships,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,510,Acknowledgment,Yes,,,,,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,492,How much do you feel valued as an individual?,No,Acknowledgment,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,498,How much do you feel your opinions are listened to?,No,Acknowledgment,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,511,Personal Growth,Yes,,,,,"My role is challenging, but I think thatâ€™s because of there has been a lack of training. If I had more training then perhaps I wouldn't find it so challenging.",2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,485,How satisfied are you with the amount of learning opportunities on offer?,No,Personal Growth,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,497,How satisfied are you with the opportunity to progress your career here?,No,Personal Growth,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,500,How satisfied are you with the amount of challenge in your role?,No,Personal Growth,,,9,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,512,Meaning & Purpose,Yes,,,,,"Yep, very committed to help us achieve our goals.",2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,501,How inspired are you by your organisation?,No,Meaning & Purpose,,,9,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,504,How committed are you to helping the organisation succeed?,No,Meaning & Purpose,,,9,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,513,Clarity,Yes,,,,,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,495,How clear are you on the requirements of your job?,No,Clarity,,,6,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,502,How well does your organisation keep you informed?,No,Clarity,,,9,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,503,How clear is the link between your role and the success of the organisation?,No,Clarity,,,9,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,514,Enablement,Yes,,,,,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,491,How able are you to manage your workload?,No,Enablement,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,496,To what extent do you have access to the resources you need to support you in your role?,No,Enablement,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,506,Open Question,Yes,,,,,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,505,"Overall, how happy are you at work and please tell us why?",No,Open Questions,,,7,,2016-2017,Mumbai,Sales
f298ace6a23e59bb7e0b4e0c04e09c0d4c9405c573ef3b19a5197d2b379f87a5,99,20210104,999,Employee Net Promoter Score,No,Open Questions,,,10,I have already recommended working herte to many of my colleagues.,2016-2017,Mumbai,Sales
9752713c6eb7db810878634d3e8fd6224c15c85fddaa024595d0cd895998e3a3,99,20210104,494,Safety,Yes,,,,,Don't feel I can trust my manager. Feels like anything I share with them is used against me.,2015 + before,Mumbai,Sales
9752713c6eb7db810878634d3e8fd6224c15c85fddaa024595d0cd895998e3a3,99,20210104,486,How satisfied are you with the physical environment you work in?,No,Safety,,,7,,2015 + before,Mumbai,Sales
